rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
406,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=146) = +0.72,"Huntsinger & Mallett (2014,Luc)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,12,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,146,,,,
407,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=98) = +0.31,"Morris (2014,McDaniel)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,13,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,98,,,,
408,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=85) = +0.54,"Furrow & Thompson (2014,MSVU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,14,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,85,,,,
409,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=1000) = +0.62,"Schmidt & Nosek (2014, MTURK)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,15,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,1000,,,,
410,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=107) = +0.67,"Smith (2014,OSU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,16,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,107,,,,
411,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=123) = +0.26,"Levitan (2014,Oxy)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,17,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,123,,,,
412,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=1329) = +0.57,"Schmidt & Nosek (2014,PI)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,18,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,1329,,,,
413,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=95) = +0.63,"Adams & Nelson (2014,PSU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,19,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,95,,,,
414,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=103) = +0.69,"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,20,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,103,,,,
415,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=86) = +0.3,"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,21,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,86,,,,
416,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=162) = +0.42,"Devos (2014,SDSU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,22,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,162,,,,
417,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=79) = +0.57,"Bocian & Frankowska (2014,SWPS) Study 1",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,23,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,79,,,,
418,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=169) = +0.52,"Bocian & Frankowska (2014,SWPSON) Study 2",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,24,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,169,,,,
419,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=187) = +0.55,"Davis & Hicks (2014,TAMU) Study 1",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,25,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,187,,,,
420,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=87) = +0.48,"Hunt & Krueger (2014,TAMUC)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,26,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,87,,,,
421,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=225) = +0.49,"Davis & Hicks (2014,TAMUON) Study 2",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,27,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,225,,,,
422,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=80) = +1.03,"Brandt et al. (2014,Tilburg)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,28,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,80,,,,
423,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=127) = +1.17,"Klein et al. (2014,UFL)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,29,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,127,,,,
424,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=144) = +0.86,"Vianello & Galliani (2014,UNIPD)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,30,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,144,,,,
425,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=81) = +0.82,"Schmidt & Nosek (2014,UVA)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,31,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,81,,,,
426,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=108) = +0.32,"Hovermale & Joy-Gaba (2014,VCU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,32,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,108,,,,
427,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=96) = +1.09,"Swol (2014,Wisc)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,33,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,96,,,,
428,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=103) = +0.7,"Wichman (2014,WKU)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,34,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,103,,,,
429,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=90) = +0.49,"Woodzicka (2014,WL)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,35,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,90,,,,
430,"Tversky & Kahneman (1981, Problem 1)",d(N=152) = +1.2,d(N=87) = +0.67,"John & Skorinko (2014,WPI)",,gain versus loss framing (unusual disease),Many Labs 1,,,,,,,cognitive,36,https://psych.hanover.edu/classes/cognition/papers/tversky81.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,152,87,,,,
431,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=84) = +0.6,"Bernstein (2014,abington)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,1,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,84,,,,
432,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=120) = +0.37,"Pilati (2014,brasilia)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,2,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,120,,,,
433,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=84) = +0.82,"Vranka (2014,Charles)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,3,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,84,,,,
434,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=95) = +0.62,"Nier (2014,Conncoll)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,4,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,95,,,,
435,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=96) = +0.48,"Rutchick (2014,CSUN)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,5,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,96,,,,
436,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=102) = +0.51,"Cheong (2014,Help)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,6,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,102,,,,
437,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=90) = +0.73,"Vaughn (2014,Ithaca)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,7,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,90,,,,
438,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=174) = +0.71,"Kurtz (2014,JMU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,8,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,174,,,,
439,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=113) = +0.52,"Cemalcilar (2014,KU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,9,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,113,,,,
440,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=112) = +0.96,"Packard (2014,Laurier)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,10,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,112,,,,
441,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=277) = +0.64,"Kappes (2014,LSE)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,11,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,277,,,,
442,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=146) = +0.52,"Huntsinger & Mallett (2014,Luc)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,12,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,146,,,,
443,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=98) = +0.49,"Morris (2014,McDaniel)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,13,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,98,,,,
444,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=85) = +0.34,"Furrow & Thompson (2014,MSVU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,14,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,85,,,,
445,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=1000) = +0.61,"Schmidt & Nosek (2014, MTURK)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,15,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,1000,,,,
446,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=107) = +0.11,"Smith (2014,OSU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,16,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,107,,,,
447,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=123) = +1.1,"Levitan (2014,Oxy)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,17,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,123,,,,
448,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=1329) = +0.7,"Schmidt & Nosek (2014,PI)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,18,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,1329,,,,
449,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=95) = +0.62,"Adams & Nelson (2014,PSU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,19,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,95,,,,
450,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=103) = +0.43,"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,20,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,103,,,,
451,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=86) = +0.33,"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,21,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,86,,,,
452,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=162) = +0.61,"Devos (2014,SDSU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,22,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,162,,,,
453,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=79) = +0.12,"Bocian & Frankowska (2014,SWPS) Study 1",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,23,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,79,,,,
454,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=169) = +0.57,"Bocian & Frankowska (2014,SWPSON) Study 2",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,24,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,169,,,,
455,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=187) = +0.72,"Davis & Hicks (2014,TAMU) Study 1",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,25,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,187,,,,
456,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=87) = +0.71,"Hunt & Krueger (2014,TAMUC)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,26,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,87,,,,
457,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=225) = +0.58,"Davis & Hicks (2014,TAMUON) Study 2",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,27,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,225,,,,
458,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=80) = +0.65,"Brandt et al. (2014,Tilburg)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,28,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,80,,,,
459,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=127) = +0.38,"Klein et al. (2014,UFL)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,29,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,127,,,,
460,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=144) = +0.74,"Vianello & Galliani (2014,UNIPD)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,30,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,144,,,,
461,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=81) = +1.14,"Schmidt & Nosek (2014,UVA)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,31,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,81,,,,
462,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=108) = +0.72,"Hovermale & Joy-Gaba (2014,VCU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,32,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,108,,,,
463,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=96) = +0.79,"Swol (2014,Wisc)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,33,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,96,,,,
464,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=103) = +0.43,"Wichman (2014,WKU)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,34,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,103,,,,
465,Oppenheimer & Monin (2009) Study 2a ,d(N=59) = +.69 ± .54,d(N=90) = +0.07,"Woodzicka (2014,WL)",,retroactive gambler's fallacy effect,Many Labs 1,,,,,,,cognitive,35,http://journal.sjdm.org/9609/jdm9609.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,59,90,,,,
