target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Levitan (2014,Oxy)",91,d,.93,.44,120,d,.82,.39,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #377,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,17,,yes,483
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Schmidt & Nosek (2014,PI)",91,d,.93,.44,1308,d,.71,.12,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #378,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,18,,yes,484
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Adams & Nelson (2014,PSU)",91,d,.93,.44,95,d,.98,.45,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #379,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,19,,no,485
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Brumbaugh & Storbeck (2014,QCCUNY) Study 1",91,d,.93,.44,103,d,.85,.43,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #380,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,20,,yes,486
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",91,d,.93,.44,20,d,.12,.97,no signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #381,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,21,,no,487
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Devos (2014,SDSU)",91,d,.93,.44,162,d,.74,.33,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #382,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,22,,yes,488
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Bocian & Frankowska (2014,SWPS) Study 1",91,d,.93,.44,79,d,.74,.48,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #383,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,23,,no,489
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Bocian & Frankowska (2014,SWPSON) Study 2",91,d,.93,.44,167,d,.86,.33,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #384,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,24,,yes,490
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Davis & Hicks (2014,TAMU) Study 1",91,d,.93,.44,187,d,.70,.30,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #385,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,25,,yes,491
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Hunt & Krueger (2014,TAMUC)",91,d,.93,.44,87,d,.61,.45,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #386,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,26,,no,492
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Davis & Hicks (2014,TAMUON) Study 2",91,d,.93,.44,222,d,.94,.30,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #387,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,27,,yes,493
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Brandt et al. (2014,Tilburg)",91,d,.93,.44,80,d,.77,.48,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #388,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,28,,no,494
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Klein et al. (2014,UFL)",91,d,.93,.44,127,d,1.47,.43,"signal - inconsistent, larger",implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #389,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,29,,yes,495
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Vianello & Galliani (2014,UNIPD)",91,d,.93,.44,140,d,1.13,.38,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #390,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,30,,yes,496
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Schmidt & Nosek (2014,UVA)",91,d,.93,.44,81,d,1.25,.52,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #391,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,31,,no,497
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Hovermale & Joy-Gaba (2014,VCU)",91,d,.93,.44,108,d,.98,.42,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #392,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,32,,yes,498
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Swol (2014,Wisc)",91,d,.93,.44,94,d,1.15,.47,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #393,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,33,,no,499
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Wichman (2014,WKU)",91,d,.93,.44,102,d,.85,.43,signal - consistent,implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #394,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,34,,yes,500
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","Woodzicka (2014,WL)",91,d,.93,.44,90,d,.66,.45,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #395,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,35,,no,501
implicit-explicit math attitude correlation,"Nosek, Banaji, & Greenwald (2002) Study 2","John & Skorinko (2014,WPI)",91,d,.93,.44,86,d,.89,.47,signal - consistent (imprecise),implicit math attitudes (math vs. art IAT),explicit math attitudes (composite),close,ML1 #396,,,,,,http://users.nber.org/~sewp/events/2005.01.14/Bios+Links/Krieger-rec1-Banaji_Math-Not-Me.pdf,10.1037/0022-3514.83.1.44,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2002,,,,,,,,,,,,,,36,,no,502
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Bernstein (2014,abington)",156,d,.93,.33,75,d,2.90,.66,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #397,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,1,,no,503
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Pilati (2014,brasilia)",156,d,.93,.33,58,d,2.34,.68,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #398,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,2,,no,504
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Vranka (2014,Charles)",156,d,.93,.33,65,d,1.57,.56,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #399,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,3,,no,505
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Nier (2014,Conncoll)",156,d,.93,.33,78,d,2.05,.56,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #400,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,4,,no,506
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Rutchick (2014,CSUN)",156,d,.93,.33,86,d,2.50,.57,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #401,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,5,,no,507
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Cheong (2014,Help)",156,d,.93,.33,82,d,2.78,.62,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #402,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,6,,no,508
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Vaughn (2014,Ithaca)",156,d,.93,.33,80,d,2.85,.63,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #403,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,7,,no,509
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Kurtz (2014,JMU)",156,d,.93,.33,154,d,2.14,.40,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #404,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,8,,yes,510
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Cemalcilar (2014,KU)",156,d,.93,.33,74,d,2.00,.57,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #405,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,9,,no,511
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Packard (2014,Laurier)",156,d,.93,.33,98,d,1.58,.46,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #406,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,10,,yes,512
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Kappes (2014,LSE)",156,d,.93,.33,223,d,1.90,.32,"signal - inconsistent, larger",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #407,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,11,,yes,513
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Huntsinger & Mallett (2014,Luc)",156,d,.93,.33,122,d,1.70,.42,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #408,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,12,,yes,514
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Morris (2014,McDaniel)",156,d,.93,.33,84,d,1.79,.51,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #409,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,13,,yes,515
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Furrow & Thompson (2014,MSVU)",156,d,.93,.33,74,d,1.86,.56,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #410,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,14,,no,516
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Schmidt & Nosek (2014, MTURK)",156,d,.93,.33,872,d,1.68,.16,"signal - inconsistent, larger",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #411,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,15,,yes,517
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Smith (2014,OSU)",156,d,.93,.33,94,d,2.47,.54,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #412,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,16,,no,518
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Levitan (2014,Oxy)",156,d,.93,.33,109,d,1.48,.42,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #413,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,17,,yes,519
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Schmidt & Nosek (2014,PI)",156,d,.93,.33,1113,d,1.35,.13,"signal - inconsistent, larger",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #414,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,18,,yes,520
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Adams & Nelson (2014,PSU)",156,d,.93,.33,85,d,2.28,.55,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #415,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,19,,no,521
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",156,d,.93,.33,84,d,1.98,.53,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #416,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,20,,no,522
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",156,d,.93,.33,68,d,2.13,.60,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #417,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,21,,no,523
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Devos (2014,SDSU)",156,d,.93,.33,150,d,2.05,.40,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #418,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,22,,yes,524
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Bocian & Frankowska (2014,SWPS) Study 1",156,d,.93,.33,62,d,3.07,.75,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #419,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,23,,no,525
